ID,From,To,Length,Diameter ,Area ,Gauge ,Insulation ,Bend Radius ,Color 
W001,SWITL,WAGOL1,145,3,2.08,14,0.68,15,BLACK
W002,WAGOL2,PSUL3,210,3,2.08,14,0.68,15,BLACK
W003,SWITN,WAGON1,185,3,2.08,14,0.68,15,WHITE
W004,WAGON2,PSUN3,245,3,2.08,14,0.68,15,WHITE
W005,ACINLG,MAINPG1,105,3,2.08,14,0.68,15,YELLOW/GREEN
W006,MAINPG2,PSUG3,125,3,2.08,14,0.68,15,YELLOW/GREEN
W007,SECONG,LIDPEG,375,3,2.08,14,0.68,15,YELLOW/GREEN
W008,THIRDG,CORETG,225,3,2.08,14,0.68,15,YELLOW/GREEN
W009,RELAY2,SNAPDA,875,3,2.08,14,0.68,15,BLACK
W010,SNAPDB,HEATEL,325,3,2.08,14,0.68,15,BLACK
W011,WAGON3,HEATEN,1020,3,2.08,14,0.68,15,WHITE
W012,WAGOL3,RELAY1,200,3,2.08,14,0.68,15,BLACK
W013,PSUL1,MCBL,655,2,0.82,16,0.5,10,RED
W014,PSUN1,MCBN,655,2,0.82,16,0.5,10,BLACK
W015,PSUL2,COMPUL,655,2,0.82,16,0.5,10,RED
W016,PSUN2,COMPUN,655,2,0.82,16,0.5,10,BLACK
W017,PERPSTATA,INLSTATUA,1040,2,0.82,24,0.5,10,REDBLUEBLACK
W018,INLSTATB,STATB,1040,2,0.82,24,0.5,10,REDBLUEBLACK
W019,MCBHBL,RELAY3,275,2,0.82,18,0.5,10,RED
W020,MCBHBN,RELAY4,295,2,0.82,18,0.5,10,BLACK
W021,ACINLL,SWITL1,65,3,2.08,14,0.68,15,BLACK
W022,ACINLN,SWITN1,85,3,2.08,14,0.68,15,WHITE
W023,MCBTH,HEATETH,825,1.2,0.2,24,0.35,6,REDBLACK
W024,MCBXMOT,XMOTO1,1075,1.2,0.2,24,0.35,6,BLUEREDGREENBLACK
W025,MCBYMOT,YMOTO1,995,1.2,0.2,24,0.35,6,BLUEREDGREENBLACK
W027,MCBPH1,INLIN1,815,1.5,0.33,22,0.43,7.5,BLACK
W028,INLIN2,PRINTP1,875,1.5,0.33,22,0.43,7.5,BLACK
W029,PERIPUSBA,SCREEUSBC,175,5,2.08,22,1,25,BLACK
W030,PERIPMICRO,SCREEHDMI,175,6,3,22,1,30,BLACK
W031,PERIPRJ45,ENCLORJ45,635,5.5,2.5,22,1,27.5,BLACK
W032,PERIPUSBA2,ENCLOUSBA,145,5,2.08,22,1,25,BLACK
W033,PERIPUSBA3,MCBUSBC,425,5,2.08,22,1,25,BLACK
W034,MCBZMOT,ZMOTO1,570,1.2,0.2,24,0.35,6,BLACK
W035,CAMERAA,CAMINL,1065,5,2.08,28,0.35,10,BLACK
W036,CAMERAB,PERIPUSBA4,1065,5,2.08,28,0.35,10,BLACK
W037,CHAMBA,CHILINA,1065,5,2.08,28,0.35,10,REDBLACK
W038,CHILINB,CHAMBB,1065,5,2.08,28,0.35,10,REDBLACK